InputU2,VoltageU2,VoltageUA
05, 48.4,5
11,105.7,6
13,128.8,7
14,137.5,7.1
15,153.8,7.2
16,161.3,7.9
20,207,13.1
23,229,15.6
25,295,28.1
31,308,32.5
34,340,45.5
35,350,47.2
36,363,53
38,380,51
40,402,64
43,432,69.4
45,449,70.8
50,498,67.4
530,536,55
550,551,44.6
60,604,38.1
63,637,40.2
66,664,43.4
70,750,52.2
75,749,78.8
79,796,118
81,809,130
85,851,178
88,886,179
91,914,150
95,956,111
100,1006,72
105,1049,53
111,1114,53
115,1149,67
119,1195,110
122,1224,140
128,1286,240
132,1327,311
141,1412,210
146,1468,115
153,1527,640
162,1615,800
168,1681,1570
171,1716,2280
177,1771,3740
180,1805,4650
188,1880,3800
191,1906,3050
194,1945,1900
203,2040,740
206,2070,1100
211,2110,1150
215,2150,1830
218,2180,2600
222,2220,3580
224,2240,4300
226,2260,5100
229,2290,6200
231,2310,8460
235,2350,8650
239,2390,6580
242,2410,2480
245,2450,2960
248,2480,1840
250,2500,1510
255,2550,1280
257,2570,1430
260,2600,1730
265,2650,2760
269,2690,4220
273,2740,6190
276,2760,6850
279,2790,7950
283,2830,7700
286,2860,6850
290,2900,4950
295,2950,3000
300,3000,1850
